Date,SIT,Temperature
10-02,-4985,15.35
5-03,-33087,16.13
6-03,-9663,16.74
7-03,12339,17.14
8-03,16822,17.11
9-03,14002,16.46
10-03,-18128,15.56
5-04,-28029,15.95
6-04,423,16.72
7-04,23952,16.87
8-04,22424,16.81
9-04,13711,16.29
10-04,-20650,15.43
5-05,-38101,16.32
6-05,-3019,17.03
7-05,12548,17.27
8-05,16349,17.05
9-05,19395,16.47
10-05,-17627,15.63
5-06,-46043,16.16
6-06,-19476,16.95
7-06,1689,17.13
8-06,18225,17.12
9-06,7940,16.42
10-06,-20025,15.60
5-07,-47351,16.33
6-07,-16009,16.97
7-07,14371,17.25
8-07,18399,17.05
9-07,24376,16.28
10-07,-18108,15.50
5-08,-33366,16.15
6-08,-2720,16.78
7-08,18877,17.20
8-08,28009,16.97
9-08,31875,16.36
10-08,-14588,15.50
5-09,-32704,16.23
6-09,-2096,16.90
7-09,19610,17.33
8-09,39734,17.05
9-09,38681,16.45
10-09,-13439,15.56
5-10,-37565,16.35
6-10,-12205,16.94
7-10,16703,17.12
8-10,23323,16.99
9-10,21770,16.42
10-10,-15045,15.54
5-11,-41217,16.09
6-11,-12009,16.94
7-11,19043,17.33
8-11,30775,17.10
9-11,31892,16.39
10-11,   ....,15.50
